model_name,threshold,precision,recall,f1,predicted_positive_rate,predicted_positive_customers
behavioral_plus_channel,0.55,0.5868732590529248,0.249150036954915,0.3497976548718481,0.11621884104888314,17232
behavioral_plus_channel,0.56,0.5944545057141073,0.2345158906134516,0.33634259668215466,0.10799746411999568,16013
behavioral_plus_channel,0.57,0.6040992448759439,0.2207440256220744,0.3233373028761142,0.10003237293622531,14832
behavioral_plus_channel,0.58,0.6123177842565598,0.2069721606306972,0.30937212299760636,0.09253264271069386,13720
behavioral_plus_channel,0.59,0.6187440982058546,0.19371766444937177,0.29505797590903976,0.08570734865652314,12708
behavioral_plus_channel,0.6,0.6244336154569547,0.17994579945799458,0.2793811081148278,0.07888879896406605,11697
behavioral_plus_channel,0.61,0.631578947368421,0.16821877309682187,0.2656757650629365,0.07291329448580987,10811
behavioral_plus_channel,0.62,0.6397397397397397,0.15745257452574526,0.25270858046658756,0.06737617351893817,9990
behavioral_plus_channel,0.63,0.6467444650452612,0.1460950973146095,0.2383488414156233,0.061839052552066474,9169
behavioral_plus_channel,0.64,0.6526740187359185,0.13559990145356,0.22454766130183793,0.05687520233085141,8433
behavioral_plus_channel,0.65,0.6608537220197813,0.12510470559251047,0.2103824004640179,0.051823675407359444,7684
behavioral_plus_channel,0.66,0.6679988581216101,0.11529933481152993,0.19665518110765612,0.04725099816553362,7006
behavioral_plus_channel,0.67,0.6736875196479095,0.10559251047055924,0.18256943261202932,0.04290762922197043,6362
behavioral_plus_channel,0.68,0.6806620209059233,0.09625523527962553,0.16865961579969782,0.038712636236106615,5740
